,顏色,單價,成本,系列,產品,訂單時間,性別,年紀,廣告代號all,尺寸,訂單編號,去識別化會員編碼
8927,,459.0,199.0,系列75,產品75-2,2016-12-27T02:11:33,FEMALE,40.0,廣告_KDPOD_select,無,258873,L_CBY_00916
8928,armygreen,985.0,433.0,系列3,產品3-3,2018-09-29T13:24:06,FEMALE,26.0,廣告_B2KP_D,S,478221,L_CBY_00954
8929,irontrigray,985.0,433.0,系列3,產品3-12,2018-09-29T13:24:06,FEMALE,26.0,廣告_B2KP_D,M,478221,L_CBY_00954
8930,,592.0,345.0,系列176,產品176-35,2017-06-10T01:12:10,FEMALE,36.0,廣告_自然流量,無,316998,L_CBY_01108
8931,,370.0,227.0,系列176,產品176-35,2017-06-10T01:12:10,FEMALE,36.0,廣告_自然流量,無,316998,L_CBY_01108
8932,,755.0,441.0,系列176,產品176-35,2017-06-10T01:12:10,FEMALE,36.0,廣告_自然流量,無,316998,L_CBY_01108
8933,gray,916.0,419.0,系列88,產品88-3,2016-10-22T04:40:03,MALE,32.0,廣告_KDPOD_select,S,244002,L_CBY_01708
8934,gray,916.0,419.0,系列88,產品88-12,2016-10-22T04:40:03,MALE,32.0,廣告_KDPOD_select,S,244002,L_CBY_01708
8935,navyblue,1105.0,459.0,系列2,產品2-12,2017-10-01T07:31:44,FEMALE,24.0,廣告_B2KP_D,XL,367905,L_CBY_00941
8936,navyblue,1105.0,443.0,系列2,產品2-3,2017-10-01T07:31:44,FEMALE,24.0,廣告_B2KP_D,M,367905,L_CBY_00941
8937,babypink,1028.0,426.0,系列33,產品33-12,2018-04-10T05:52:39,FEMALE,24.0,廣告_KDP_D,M,424626,L_CBY_00941
8938,skyblue,1028.0,424.0,系列33,產品33-12,2018-04-10T05:52:39,FEMALE,24.0,廣告_KDP_D,M,424626,L_CBY_00941
8939,,656.0,345.0,系列11,產品11-35,2019-06-13T13:10:15,FEMALE,24.0,廣告_KBMK_D,無,570570,L_CBY_00941
8940,,656.0,345.0,系列11,產品11-35,2019-06-13T13:10:15,FEMALE,24.0,廣告_KBMK_D,無,570570,L_CBY_00941
